timestamp,emotion,meta
2025-11-20T12:07:26.665354Z,neutral,source=webcam
2025-11-20T12:07:27.672533Z,neutral,source=webcam
2025-11-20T12:07:28.664111Z,neutral,source=webcam
2025-11-20T12:07:29.664618Z,neutral,source=webcam
2025-11-20T12:07:30.665719Z,neutral,source=webcam
2025-11-20T12:07:31.670071Z,neutral,source=webcam
2025-11-20T12:07:32.658053Z,neutral,source=webcam
2025-11-20T12:07:33.668264Z,neutral,source=webcam
2025-11-20T12:07:34.662128Z,neutral,source=webcam
2025-11-20T12:07:35.663341Z,neutral,source=webcam
2025-11-20T12:07:36.656156Z,neutral,source=webcam
2025-11-20T12:07:36.988342Z,neutral,source=webcam
2025-11-20T12:07:37.778140Z,neutral,source=webcam
2025-11-20T12:07:38.767800Z,neutral,source=webcam
2025-11-20T12:07:39.768862Z,neutral,source=webcam
2025-11-20T12:07:40.769623Z,angry,source=webcam
2025-11-20T12:07:41.767646Z,neutral,source=webcam
2025-11-20T12:07:42.771393Z,neutral,source=webcam
2025-11-20T12:07:44.666092Z,neutral,source=webcam
2025-11-20T12:07:45.664815Z,neutral,source=webcam
2025-11-20T12:07:46.662813Z,neutral,source=webcam
2025-11-20T12:07:47.660580Z,neutral,source=webcam
2025-11-20T12:31:54.360811Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.52
2025-11-20T12:31:55.271839Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.57
2025-11-20T12:31:56.283704Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.38
2025-11-20T12:31:57.279729Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.7
2025-11-20T12:31:58.286520Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.79
2025-11-20T12:31:59.287155Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.84
2025-11-20T12:32:00.286837Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.75
2025-11-20T12:32:01.279754Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.45
2025-11-20T12:32:02.292137Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.81
2025-11-20T12:32:03.277230Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.69
2025-11-20T12:32:04.289628Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.85
2025-11-20T12:32:05.291541Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.64
2025-11-20T12:32:06.288881Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.54
2025-11-20T12:32:07.291454Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.65
2025-11-20T12:32:08.291348Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.73
2025-11-20T12:32:09.291362Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.75
2025-11-20T12:32:10.295259Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.64
2025-11-20T12:32:11.296281Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.76
2025-11-20T12:32:12.286196Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.74
2025-11-20T12:32:13.287644Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.71
2025-11-20T12:32:14.285573Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.64
2025-11-20T12:32:15.280560Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.65
2025-11-20T12:32:16.296463Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.62
2025-11-20T12:32:17.297144Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.73
2025-11-20T12:32:18.300498Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.58
2025-11-20T12:32:19.301968Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.6
2025-11-20T12:32:20.298648Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.82
2025-11-20T12:32:21.302477Z,angry,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.53
2025-11-20T12:32:22.305708Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.56
2025-11-20T12:32:23.301515Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.58
